Order,Publish Date,Title,Story Arc,Detail Link
107,11/1963,Amazing Spider-Man (1963) #6,-,https://cmro.travis-starnes.com/detail.php?idvalue=92
108,11/1963,Journey into Mystery (1952) #98 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=93
109,11/1963,Journey into Mystery (1952) #98 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16350
110,11/1963,Tales of Suspense (1959) #47,-,https://cmro.travis-starnes.com/detail.php?idvalue=94
111,11/1963,Tales to Astonish (1958) #49,-,https://cmro.travis-starnes.com/detail.php?idvalue=95
112,11/1963,Avengers (1963) #2,-,https://cmro.travis-starnes.com/detail.php?idvalue=96
113,12/1963,Amazing Spider-Man (1963) #7,-,https://cmro.travis-starnes.com/detail.php?idvalue=97
114,12/1963,Strange Tales (1951) #115 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=98
115,12/1963,Strange Tales (1951) #115 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16220
116,12/1963,Fantastic Four (1961) #21,-,https://cmro.travis-starnes.com/detail.php?idvalue=99
117,12/1963,Tales of Suspense (1959) #48,-,https://cmro.travis-starnes.com/detail.php?idvalue=100
118,12/1963,Tales to Astonish (1958) #50,-,https://cmro.travis-starnes.com/detail.php?idvalue=101
119,01/1964,Tales to Astonish (1958) #51 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=103
120,01/1964,Tales to Astonish (1958) #51 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16369
121,01/1964,Strange Tales (1951) #116 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=102
122,01/1964,Strange Tales (1951) #116 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16221
123,01/1964,Amazing Spider-Man (1963) #8 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=104
124,01/1964,Amazing Spider-Man (1963) #8 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16192
125,01/1964,Tales of Suspense (1959) #49 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=105
